Chip,Type
i00076Gh,FunctionalMonomorphic
i00077Gh,NotSynthesized
i00078Gh,NotSynthesized
i00079Gh,FunctionalMonomorphic
i00080Gh,FunctionalMonomorphic
i00081Gh,FunctionalMonomorphic
i00082Gh,FunctionalMonomorphic
i00083Gh,FunctionalMonomorphic
i00084Gh,FunctionalMonomorphic
i00085Gh,FunctionalMonomorphic
i00086Gh,NotSynthesized
i00087Gh,FunctionalMonomorphic
i00088Gh,FunctionalMonomorphic
i00089Gh,FunctionalMonomorphic
i00090Gh,FunctionalMonomorphic
i00091Gh,Failed
i00092Gh,FunctionalMonomorphic
i00093Gh,FunctionalMonomorphic
i00094Gh,FunctionalIntergenomic
i00095Gh,FunctionalPolymorphic
i00096Gh,FunctionalMonomorphic
i00097Gh,FunctionalMonomorphic
i00098Gh,FunctionalMonomorphic
i00099Gh,FunctionalMonomorphic
i00100Gh,Failed
i00101Gh,FunctionalMonomorphic
i00102Gh,FunctionalMonomorphic
i00103Gh,FunctionalMonomorphic
i00104Gh,Failed
i00105Gh,Failed
i00106Gh,FunctionalMonomorphic
i00107Gh,FunctionalMonomorphic
i00108Gh,FunctionalPolymorphic
i00109Gh,FunctionalMonomorphic
i00110Gh,FunctionalIntergenomic
i00111Gh,FunctionalMonomorphic
i00112Gh,FunctionalMonomorphic
i00113Gh,FunctionalPolymorphic
i00114Gh,FunctionalPolymorphic
i00115Gh,FunctionalPolymorphic
i00116Gh,NotSynthesized
i00117Gh,FunctionalPolymorphic
i00118Gh,FunctionalPolymorphic
i00119Gh,FunctionalPolymorphic
i00120Gh,FunctionalPolymorphic
i00121Gh,FunctionalPolymorphic
i00122Gh,Failed
i00123Gh,FunctionalPolymorphic
i00124Gh,FunctionalPolymorphic
i00125Gh,FunctionalPolymorphic
i00126Gh,FunctionalPolymorphic
i00127Gh,FunctionalPolymorphic
i00128Gh,NotSynthesized
i00129Gh,FunctionalIntergenomic
i00130Gh,NotSynthesized
i00131Gh,FunctionalPolymorphic
i00132Gh,FunctionalPolymorphic
i00133Gh,FunctionalPolymorphic
i00134Gh,FunctionalPolymorphic
i00135Gh,FunctionalPolymorphic
i00136Gh,FunctionalPolymorphic
i00137Gh,FunctionalPolymorphic
i00138Gh,FunctionalPolymorphic
i00139Gh,FunctionalPolymorphic
i00140Gh,FunctionalPolymorphic
i00141Gh,FunctionalPolymorphic
i00142Gh,FunctionalPolymorphic
i00143Gh,FunctionalMonomorphic
i00144Gh,FunctionalPolymorphic
i00145Gh,FunctionalPolymorphic
i00146Gh,FunctionalMonomorphic
i00147Gh,FunctionalPolymorphic
i00148Gh,FunctionalPolymorphic
i00149Gh,FunctionalPolymorphic
i00150Gh,NotSynthesized
i00151Gh,FunctionalPolymorphic
i00152Gh,FunctionalPolymorphic
i00153Gh,FunctionalPolymorphic
i00154Gh,FunctionalPolymorphic
i00155Gh,FunctionalPolymorphic
i00156Gh,FunctionalPolymorphic
i00157Gh,FunctionalPolymorphic
i00158Gh,FunctionalPolymorphic
i00159Gh,FunctionalPolymorphic
i00160Gh,FunctionalPolymorphic
i00161Gh,FunctionalPolymorphic
i00162Gh,FunctionalPolymorphic
i00163Gh,FunctionalPolymorphic
i00164Gh,NotSynthesized
i00165Gh,FunctionalPolymorphic
i00166Gh,FunctionalPolymorphic
i00167Gh,FunctionalPolymorphic
i00168Gh,FunctionalPolymorphic
i00169Gh,FunctionalPolymorphic
i00170Gh,FunctionalPolymorphic
i00171Gh,FunctionalPolymorphic
i00172Gh,FunctionalPolymorphic
i00173Gh,FunctionalPolymorphic
i00174Gh,FunctionalPolymorphic
i00175Gh,FunctionalPolymorphic
i00176Gh,FunctionalPolymorphic
i00177Gh,FunctionalPolymorphic
i00178Gh,FunctionalPolymorphic
i00179Gh,FunctionalPolymorphic
i00180Gh,Failed
i00181Gh,FunctionalPolymorphic
i00182Gh,FunctionalPolymorphic
i00183Gh,FunctionalPolymorphic
i00184Gh,FunctionalPolymorphic
i00185Gh,FunctionalPolymorphic
i00186Gh,FunctionalPolymorphic
i00187Gh,FunctionalPolymorphic
i00188Gh,FunctionalPolymorphic
i00189Gh,FunctionalPolymorphic
i00190Gh,FunctionalIntergenomic
i00191Gh,FunctionalMonomorphic
i00192Gh,FunctionalPolymorphic
i00193Gh,FunctionalPolymorphic
i00194Gh,FunctionalPolymorphic
i00195Gh,FunctionalPolymorphic
i00196Gh,FunctionalPolymorphic
i00197Gh,FunctionalPolymorphic
i00198Gh,FunctionalPolymorphic
i00199Gh,FunctionalPolymorphic
i00200Gh,FunctionalPolymorphic
i00201Gh,FunctionalPolymorphic
i00202Gh,FunctionalPolymorphic
i00203Gh,FunctionalPolymorphic
i00204Gh,Failed
i00205Gh,FunctionalPolymorphic
i00206Gh,Failed
i00207Gh,FunctionalPolymorphic
i00208Gh,FunctionalPolymorphic
i00209Gh,FunctionalPolymorphic
i00210Gh,FunctionalIntergenomic
i00211Gh,FunctionalPolymorphic
i00212Gh,Failed
i00213Gh,Failed
i00214Gh,FunctionalPolymorphic
i00215Gh,FunctionalPolymorphic
i00216Gh,FunctionalPolymorphic
i00217Gh,FunctionalPolymorphic
i00218Gh,FunctionalPolymorphic
i00219Gh,FunctionalPolymorphic
i00220Gh,FunctionalPolymorphic
i00221Gh,FunctionalPolymorphic
i00222Gh,FunctionalPolymorphic
i00223Gh,FunctionalPolymorphic
i00224Gh,FunctionalPolymorphic
i00225Gh,FunctionalPolymorphic
i00226Gh,FunctionalPolymorphic
i00227Gh,FunctionalPolymorphic
i00228Gh,FunctionalMonomorphic
i00229Gh,FunctionalPolymorphic
i00230Gh,FunctionalPolymorphic
i00231Gh,FunctionalPolymorphic
i00232Gh,FunctionalPolymorphic
i00233Gh,FunctionalPolymorphic
i00234Gh,FunctionalPolymorphic
i00235Gh,FunctionalPolymorphic
i00236Gh,FunctionalIntergenomic
i00237Gh,FunctionalPolymorphic
i00238Gh,FunctionalPolymorphic
i00239Gh,FunctionalPolymorphic
i00240Gh,FunctionalPolymorphic
i00241Gh,FunctionalPolymorphic
i00242Gh,FunctionalPolymorphic
i00243Gh,FunctionalMonomorphic
i00244Gh,NotSynthesized
i00245Gh,FunctionalPolymorphic
i00246Gh,Failed
i00247Gh,Failed
i00248Gh,Failed
i00249Gh,FunctionalPolymorphic
i00250Gh,FunctionalPolymorphic
i00251Gh,FunctionalPolymorphic
i00252Gh,FunctionalPolymorphic
i00253Gh,FunctionalPolymorphic
i00254Gh,FunctionalMonomorphic
i00255Gh,FunctionalPolymorphic
i00256Gh,FunctionalMonomorphic
i00257Gh,NotSynthesized
i00258Gh,FunctionalPolymorphic
i00259Gh,FunctionalPolymorphic
i00260Gh,FunctionalPolymorphic
i00261Gh,FunctionalPolymorphic
i00262Gh,FunctionalPolymorphic
i00263Gh,FunctionalPolymorphic
i00264Gh,FunctionalPolymorphic
i00265Gh,FunctionalPolymorphic
i00266Gh,FunctionalPolymorphic
i00267Gh,FunctionalPolymorphic
i00268Gh,FunctionalPolymorphic
i00269Gh,FunctionalPolymorphic
i00270Gh,FunctionalPolymorphic
i00271Gh,FunctionalPolymorphic
i00272Gh,FunctionalPolymorphic
i00273Gh,FunctionalPolymorphic
i00274Gh,FunctionalPolymorphic
i00275Gh,FunctionalPolymorphic
i00276Gh,FunctionalPolymorphic
i00277Gh,Failed
i00278Gh,FunctionalPolymorphic
i00279Gh,NotSynthesized
i00280Gh,NotSynthesized
i00281Gh,FunctionalIntergenomic
i00282Gh,FunctionalPolymorphic
i00283Gh,FunctionalPolymorphic
i00284Gh,FunctionalPolymorphic
i00285Gh,Failed
i00286Gh,Failed
i00287Gh,FunctionalPolymorphic
i00288Gh,NotSynthesized
i00289Gh,FunctionalPolymorphic
i00290Gh,Failed
i00291Gh,FunctionalPolymorphic
i00292Gh,FunctionalPolymorphic
i00293Gh,FunctionalPolymorphic
i00294Gh,Failed
i00295Gh,Failed
i00296Gh,FunctionalMonomorphic
i00297Gh,Failed
i00298Gh,FunctionalPolymorphic
i00299Gh,NotSynthesized
i00300Gh,FunctionalPolymorphic
i00301Gh,FunctionalPolymorphic
i00302Gh,FunctionalPolymorphic
i00303Gh,FunctionalPolymorphic
i00304Gh,FunctionalPolymorphic
i00305Gh,Failed
i00306Gh,FunctionalPolymorphic
i00307Gh,FunctionalPolymorphic
i00308Gh,NotSynthesized
i00309Gh,FunctionalPolymorphic
i00310Gh,FunctionalPolymorphic
i00311Gh,FunctionalPolymorphic
i00312Gh,FunctionalPolymorphic
i00313Gh,FunctionalPolymorphic
i00314Gh,FunctionalPolymorphic
i00315Gh,NotSynthesized
i00316Gh,FunctionalPolymorphic
i00317Gh,FunctionalIntergenomic
i00318Gh,FunctionalMonomorphic
i00319Gh,FunctionalPolymorphic
i00320Gh,FunctionalPolymorphic
i00321Gh,FunctionalPolymorphic
i00322Gh,FunctionalPolymorphic
i00323Gh,FunctionalPolymorphic
i00324Gh,FunctionalPolymorphic
i00325Gh,Failed
i00326Gh,FunctionalPolymorphic
i00327Gh,FunctionalPolymorphic
i00328Gh,FunctionalPolymorphic
i00329Gh,FunctionalPolymorphic
i00330Gh,FunctionalPolymorphic
i00331Gh,FunctionalPolymorphic
i00332Gh,FunctionalPolymorphic
i00333Gh,FunctionalPolymorphic
i00334Gh,FunctionalPolymorphic
i00335Gh,Failed
i00336Gh,FunctionalPolymorphic
i00337Gh,Failed
i00338Gh,FunctionalMonomorphic
i00339Gh,FunctionalPolymorphic
i00340Gh,FunctionalMonomorphic
i00341Gh,FunctionalPolymorphic
i00342Gh,FunctionalPolymorphic
i00343Gh,FunctionalPolymorphic
i00344Gh,FunctionalPolymorphic
i00345Gh,FunctionalMonomorphic
i00346Gh,FunctionalPolymorphic
i00347Gh,FunctionalMonomorphic
i00348Gh,FunctionalPolymorphic
i00349Gh,FunctionalPolymorphic
i00350Gh,FunctionalPolymorphic
i00351Gh,FunctionalPolymorphic
i00352Gh,Failed
i00353Gh,Failed
i00354Gh,FunctionalPolymorphic
i00355Gh,NotSynthesized
i00356Gh,FunctionalPolymorphic
i00357Gh,FunctionalPolymorphic
i00358Gh,FunctionalPolymorphic
i00359Gh,NotSynthesized
i00360Gh,FunctionalPolymorphic
i00361Gh,FunctionalIntergenomic
i00362Gh,FunctionalPolymorphic
i00363Gh,Failed
i00364Gh,NotSynthesized
i00365Gh,FunctionalPolymorphic
i00366Gh,FunctionalPolymorphic
i00367Gh,FunctionalPolymorphic
i00368Gh,FunctionalPolymorphic
i00369Gh,FunctionalPolymorphic
i00370Gh,Failed
i00371Gh,FunctionalPolymorphic
i00372Gh,FunctionalPolymorphic
i00373Gh,FunctionalPolymorphic
i00374Gh,FunctionalPolymorphic
i00375Gh,FunctionalPolymorphic
i00376Gh,NotSynthesized
i00377Gh,Failed
i00378Gh,FunctionalPolymorphic
i00379Gh,FunctionalPolymorphic
i00380Gh,Failed
i00381Gh,FunctionalPolymorphic
i00382Gh,FunctionalPolymorphic
i00383Gh,FunctionalPolymorphic
i00384Gh,FunctionalPolymorphic
i00385Gh,FunctionalPolymorphic
i00386Gh,FunctionalPolymorphic
i00387Gh,FunctionalPolymorphic
i00388Gh,Failed
i00389Gh,FunctionalPolymorphic
i00390Gh,FunctionalPolymorphic
i00391Gh,FunctionalPolymorphic
i00392Gh,FunctionalPolymorphic
i00393Gh,FunctionalPolymorphic
i00394Gh,NotSynthesized
i00395Gh,FunctionalPolymorphic
i00396Gh,FunctionalIntergenomic
i00397Gh,FunctionalPolymorphic
i00398Gh,FunctionalPolymorphic
i00399Gh,FunctionalPolymorphic
i00400Gh,FunctionalPolymorphic
i00401Gh,FunctionalPolymorphic
i00402Gh,FunctionalMonomorphic
i00403Gh,Failed
i00404Gh,FunctionalPolymorphic
i00405Gh,Failed
i00406Gh,FunctionalPolymorphic
i00407Gh,FunctionalIntergenomic
i00408Gh,FunctionalPolymorphic
i00409Gh,Failed
i00410Gh,Failed
i00411Gh,FunctionalPolymorphic
i00412Gh,FunctionalPolymorphic
i00413Gh,FunctionalPolymorphic
i00414Gh,FunctionalPolymorphic
i00415Gh,FunctionalPolymorphic
i00416Gh,FunctionalPolymorphic
i00417Gh,FunctionalPolymorphic
i00418Gh,NotSynthesized
i00419Gh,FunctionalPolymorphic
i00420Gh,NotSynthesized
i00421Gh,NotSynthesized
i00422Gh,FunctionalPolymorphic
i00423Gh,FunctionalPolymorphic
i00424Gh,FunctionalPolymorphic
i00425Gh,FunctionalPolymorphic
i00426Gh,FunctionalPolymorphic
i00427Gh,NotSynthesized
i00428Gh,FunctionalPolymorphic
i00429Gh,FunctionalPolymorphic
i00430Gh,FunctionalPolymorphic
i00431Gh,FunctionalPolymorphic
i00432Gh,FunctionalPolymorphic
i00433Gh,FunctionalPolymorphic
i00434Gh,FunctionalPolymorphic
i00435Gh,FunctionalIntergenomic
i00436Gh,FunctionalPolymorphic
i00437Gh,FunctionalPolymorphic
i00438Gh,Failed
i00439Gh,FunctionalPolymorphic
i00440Gh,FunctionalPolymorphic
i00441Gh,FunctionalPolymorphic
i00442Gh,FunctionalPolymorphic
i00443Gh,FunctionalPolymorphic
i00444Gh,FunctionalPolymorphic
i00445Gh,Failed
i00446Gh,FunctionalPolymorphic
i00447Gh,FunctionalMonomorphic
i00448Gh,FunctionalPolymorphic
i00449Gh,FunctionalPolymorphic
i00450Gh,FunctionalPolymorphic
i00451Gh,FunctionalIntergenomic
i00452Gh,FunctionalPolymorphic
i00453Gh,FunctionalPolymorphic
i00454Gh,Failed
i00455Gh,Failed
i00456Gh,FunctionalPolymorphic
i00457Gh,FunctionalIntergenomic
i00458Gh,FunctionalPolymorphic
i00459Gh,FunctionalPolymorphic
i00460Gh,FunctionalPolymorphic
i00461Gh,FunctionalPolymorphic
i00462Gh,FunctionalPolymorphic
i00463Gh,FunctionalPolymorphic
i00464Gh,NotSynthesized
i00465Gh,FunctionalPolymorphic
i00466Gh,FunctionalPolymorphic
i00467Gh,Failed
i00468Gh,FunctionalPolymorphic
i00469Gh,FunctionalPolymorphic
i00470Gh,FunctionalPolymorphic
i00471Gh,FunctionalPolymorphic
i00472Gh,FunctionalPolymorphic
i00473Gh,FunctionalPolymorphic
i00474Gh,FunctionalPolymorphic
i00475Gh,FunctionalPolymorphic
i00476Gh,NotSynthesized
i00477Gh,FunctionalPolymorphic
i00478Gh,FunctionalPolymorphic
i00479Gh,FunctionalPolymorphic
i00480Gh,FunctionalPolymorphic
i00481Gh,Failed
i00482Gh,FunctionalIntergenomic
i00483Gh,FunctionalIntergenomic
i00484Gh,FunctionalPolymorphic
i00485Gh,NotSynthesized
i00486Gh,FunctionalPolymorphic
i00487Gh,FunctionalPolymorphic
i00488Gh,NotSynthesized
i00489Gh,FunctionalPolymorphic
i00490Gh,FunctionalPolymorphic
i00491Gh,FunctionalMonomorphic
i00492Gh,FunctionalPolymorphic
i00493Gh,FunctionalPolymorphic
i00494Gh,FunctionalPolymorphic
i00495Gh,Failed
i00496Gh,FunctionalMonomorphic
i00497Gh,NotSynthesized
i00498Gh,FunctionalPolymorphic
i00499Gh,FunctionalPolymorphic
i00500Gh,NotSynthesized
i00501Gh,Failed
i00502Gh,FunctionalPolymorphic
i00503Gh,FunctionalPolymorphic
i00504Gh,NotSynthesized
i00505Gh,FunctionalPolymorphic
i00506Gh,Failed
i00507Gh,FunctionalIntergenomic
i00508Gh,FunctionalPolymorphic
i00509Gh,FunctionalPolymorphic
i00510Gh,FunctionalPolymorphic
i00511Gh,FunctionalPolymorphic
i00512Gh,Failed
i00513Gh,Failed
i00514Gh,FunctionalPolymorphic
i00515Gh,FunctionalPolymorphic
i00516Gh,FunctionalPolymorphic
i00517Gh,Failed
i00518Gh,FunctionalIntergenomic
i00519Gh,FunctionalPolymorphic
i00520Gh,FunctionalMonomorphic
i00521Gh,FunctionalPolymorphic
i00522Gh,FunctionalMonomorphic
i00523Gh,Failed
i00524Gh,NotSynthesized
i00525Gh,FunctionalMonomorphic
i00526Gh,FunctionalPolymorphic
i00527Gh,FunctionalPolymorphic
i00528Gh,NotSynthesized
i00529Gh,FunctionalIntergenomic
i00530Gh,FunctionalPolymorphic
i00531Gh,FunctionalPolymorphic
i00532Gh,FunctionalPolymorphic
i00533Gh,FunctionalPolymorphic
i00534Gh,NotSynthesized
i00535Gh,FunctionalPolymorphic
i00536Gh,FunctionalPolymorphic
i00537Gh,NotSynthesized
i00538Gh,FunctionalPolymorphic
i00539Gh,FunctionalPolymorphic
i00540Gh,FunctionalPolymorphic
i00541Gh,FunctionalPolymorphic
i00542Gh,FunctionalPolymorphic
i00543Gh,FunctionalPolymorphic
i00544Gh,FunctionalPolymorphic
i00545Gh,FunctionalPolymorphic
i00546Gh,FunctionalPolymorphic
i00547Gh,FunctionalPolymorphic
i00548Gh,FunctionalPolymorphic
i00549Gh,FunctionalPolymorphic
i00550Gh,FunctionalPolymorphic
i00551Gh,FunctionalPolymorphic
i00552Gh,NotSynthesized
i00553Gh,FunctionalPolymorphic
i00554Gh,FunctionalPolymorphic
i00555Gh,FunctionalPolymorphic
i00556Gh,FunctionalPolymorphic
i00557Gh,FunctionalPolymorphic
i00558Gh,FunctionalPolymorphic
i00559Gh,FunctionalMonomorphic
i00560Gh,FunctionalPolymorphic
i00561Gh,FunctionalPolymorphic
i00562Gh,NotSynthesized
i00563Gh,FunctionalPolymorphic
i00564Gh,Failed
i00565Gh,FunctionalPolymorphic
i00566Gh,FunctionalPolymorphic
i00567Gh,Failed
i00568Gh,FunctionalPolymorphic
i00569Gh,Failed
i00570Gh,FunctionalPolymorphic
i00571Gh,FunctionalPolymorphic
i00572Gh,FunctionalPolymorphic
i00573Gh,NotSynthesized
i00574Gh,FunctionalMonomorphic
i00575Gh,NotSynthesized
i00576Gh,Failed
i00577Gh,FunctionalPolymorphic
i00578Gh,FunctionalPolymorphic
i00579Gh,FunctionalPolymorphic
i00580Gh,Failed
i00581Gh,Failed
i00582Gh,NotSynthesized
i00583Gh,FunctionalPolymorphic
i00584Gh,FunctionalMonomorphic
i00585Gh,FunctionalPolymorphic
i00586Gh,FunctionalPolymorphic
i00587Gh,FunctionalPolymorphic
i00588Gh,FunctionalPolymorphic
i00589Gh,FunctionalPolymorphic
i00590Gh,FunctionalPolymorphic
i00591Gh,Failed
i00592Gh,FunctionalPolymorphic
i00593Gh,FunctionalPolymorphic
i00594Gh,FunctionalPolymorphic
i00595Gh,FunctionalPolymorphic
i00596Gh,FunctionalPolymorphic
i00597Gh,FunctionalPolymorphic
i00598Gh,FunctionalPolymorphic
i00599Gh,FunctionalPolymorphic
i00600Gh,FunctionalPolymorphic
i00601Gh,FunctionalMonomorphic
i00602Gh,FunctionalPolymorphic
i00603Gh,FunctionalPolymorphic
i00604Gh,FunctionalPolymorphic
i00605Gh,NotSynthesized
i00606Gh,FunctionalPolymorphic
i00607Gh,FunctionalPolymorphic
i00608Gh,Failed
i00609Gh,Failed
i00610Gh,FunctionalPolymorphic
i00611Gh,Failed
i00612Gh,FunctionalPolymorphic
i00613Gh,FunctionalIntergenomic
i00614Gh,FunctionalPolymorphic
i00615Gh,FunctionalPolymorphic
i00616Gh,FunctionalPolymorphic
i00617Gh,Failed
i00618Gh,FunctionalMonomorphic
i00619Gh,FunctionalPolymorphic
i00620Gh,FunctionalPolymorphic
i00621Gh,FunctionalPolymorphic
i00622Gh,Failed
i00623Gh,FunctionalMonomorphic
i00624Gh,FunctionalPolymorphic
i00625Gh,FunctionalPolymorphic
i00626Gh,FunctionalPolymorphic
i00627Gh,FunctionalIntergenomic
i00628Gh,NotSynthesized
i00629Gh,FunctionalPolymorphic
i00630Gh,FunctionalMonomorphic
i00631Gh,FunctionalPolymorphic
i00632Gh,NotSynthesized
i00633Gh,FunctionalPolymorphic
i00634Gh,NotSynthesized
i00635Gh,FunctionalPolymorphic
i00636Gh,NotSynthesized
i00637Gh,FunctionalPolymorphic
i00638Gh,FunctionalPolymorphic
i00639Gh,Failed
i00640Gh,Failed
i00641Gh,FunctionalMonomorphic
i00642Gh,Failed
i00643Gh,FunctionalPolymorphic
i00644Gh,Failed
i00645Gh,Failed
i00646Gh,FunctionalMonomorphic
i00647Gh,FunctionalMonomorphic
i00648Gh,Failed
i00649Gh,NotSynthesized
i00650Gh,Failed
i00651Gh,FunctionalIntergenomic
i00652Gh,FunctionalPolymorphic
i00653Gh,FunctionalPolymorphic
i00654Gh,NotSynthesized
i00655Gh,FunctionalPolymorphic
i00656Gh,FunctionalIntergenomic
i00657Gh,Failed
i00658Gh,FunctionalPolymorphic
i00659Gh,FunctionalPolymorphic
i00660Gh,FunctionalIntergenomic
i00661Gh,FunctionalPolymorphic
i00662Gh,FunctionalMonomorphic
i00663Gh,FunctionalMonomorphic
i00664Gh,Failed
i00665Gh,FunctionalPolymorphic
i00666Gh,FunctionalPolymorphic
i00667Gh,FunctionalPolymorphic
i00668Gh,NotSynthesized
i00669Gh,FunctionalPolymorphic
i00670Gh,FunctionalPolymorphic
i00671Gh,Failed
i00672Gh,FunctionalIntergenomic
i00673Gh,NotSynthesized
i00674Gh,FunctionalPolymorphic
i00675Gh,FunctionalIntergenomic
i00676Gh,Failed
i00677Gh,FunctionalPolymorphic
i00678Gh,FunctionalPolymorphic
i00679Gh,FunctionalIntergenomic
i00680Gh,FunctionalPolymorphic
i00681Gh,FunctionalPolymorphic
i00682Gh,FunctionalPolymorphic
i00683Gh,FunctionalPolymorphic
i00684Gh,FunctionalMonomorphic
i00685Gh,FunctionalPolymorphic
i00686Gh,FunctionalPolymorphic
i00687Gh,FunctionalPolymorphic
i00688Gh,FunctionalPolymorphic
i00689Gh,Failed
i00690Gh,FunctionalPolymorphic
i00691Gh,NotSynthesized
i00692Gh,FunctionalIntergenomic
i00693Gh,FunctionalPolymorphic
i00694Gh,FunctionalIntergenomic
i00695Gh,Failed
i00696Gh,FunctionalIntergenomic
i00697Gh,FunctionalPolymorphic
i00698Gh,FunctionalIntergenomic
i00699Gh,NotSynthesized
i00700Gh,FunctionalPolymorphic
i00701Gh,FunctionalPolymorphic
i00702Gh,Failed
i00703Gh,Failed
i00704Gh,FunctionalMonomorphic
i00705Gh,FunctionalPolymorphic
i00706Gh,FunctionalPolymorphic
i00707Gh,FunctionalIntergenomic
i00708Gh,FunctionalMonomorphic
i00709Gh,Failed
i00710Gh,FunctionalPolymorphic
i00711Gh,FunctionalIntergenomic
i00712Gh,Failed
i00713Gh,Failed
i00714Gh,FunctionalPolymorphic
i00715Gh,FunctionalPolymorphic
i00716Gh,FunctionalPolymorphic
i00717Gh,FunctionalMonomorphic
i00718Gh,FunctionalMonomorphic
i00719Gh,Failed
i00720Gh,FunctionalPolymorphic
i00721Gh,Failed
i00722Gh,FunctionalMonomorphic
i00723Gh,FunctionalPolymorphic
i00724Gh,NotSynthesized
i00725Gh,FunctionalPolymorphic
i00726Gh,FunctionalIntergenomic
i00727Gh,FunctionalPolymorphic
i00728Gh,NotSynthesized
i00729Gh,FunctionalIntergenomic
i00730Gh,FunctionalPolymorphic
i00731Gh,Failed
i00732Gh,FunctionalPolymorphic
i00733Gh,FunctionalPolymorphic
i00734Gh,NotSynthesized
i00735Gh,FunctionalPolymorphic
i00736Gh,FunctionalIntergenomic
i00737Gh,FunctionalIntergenomic
i00738Gh,Failed
i00739Gh,Failed
i00740Gh,FunctionalMonomorphic
i00741Gh,FunctionalPolymorphic
i00742Gh,NotSynthesized
i00743Gh,FunctionalIntergenomic
i00744Gh,Failed
i00745Gh,FunctionalPolymorphic
i00746Gh,FunctionalPolymorphic
i00747Gh,Failed
i00748Gh,Failed
i00749Gh,FunctionalMonomorphic
i00750Gh,FunctionalPolymorphic
i00751Gh,Failed
i00752Gh,FunctionalPolymorphic
i00753Gh,FunctionalPolymorphic
i00754Gh,Failed
i00755Gh,FunctionalPolymorphic
i00756Gh,Failed
i00757Gh,Failed
i00758Gh,FunctionalPolymorphic
i00759Gh,FunctionalIntergenomic
i00760Gh,FunctionalMonomorphic
i00761Gh,NotSynthesized
i00762Gh,FunctionalMonomorphic
i00763Gh,FunctionalMonomorphic
i00764Gh,FunctionalIntergenomic
i00765Gh,FunctionalPolymorphic
i00766Gh,FunctionalPolymorphic
i00767Gh,FunctionalPolymorphic
i00768Gh,Failed
i00769Gh,FunctionalMonomorphic
i00770Gh,FunctionalMonomorphic
i00771Gh,FunctionalPolymorphic
i00772Gh,Failed
i00773Gh,FunctionalMonomorphic
i00774Gh,NotSynthesized
i00775Gh,FunctionalPolymorphic
i00776Gh,Failed
i00777Gh,FunctionalMonomorphic
i00778Gh,FunctionalPolymorphic
i00779Gh,Failed
i00780Gh,FunctionalPolymorphic
i00781Gh,FunctionalPolymorphic
i00782Gh,FunctionalIntergenomic
i00783Gh,Failed
i00784Gh,FunctionalPolymorphic
i00785Gh,FunctionalPolymorphic
i00786Gh,FunctionalPolymorphic
i00787Gh,FunctionalPolymorphic
i00788Gh,FunctionalMonomorphic
i00789Gh,FunctionalMonomorphic
i00790Gh,FunctionalIntergenomic
i00791Gh,FunctionalMonomorphic
